# Nmap 6.01 scan initiated Tue Apr 16 09:39:29 2013 as: /usr/local/bin/nmap -oN 192.168.0.0_24.nmap.txt -vvv --reason -T4 -sV --script=banner -O -sU -sS -p U:623,624,69,161,162,5900,5901,623,624,69,161,162,5900,5901,1900,1278,1279,2606,2607,4995,1188,T:22,23,80,161,162,443,623,5900,5901,8080,22,23,80,161,162,443,623,5900,5901,8080,555,4988,5120,5123,50000,8889,17990,1278,1279,2606,2607,3269,3668,3669,5869,5981,8192,1188,3002,3389,9300,17988,17990,5120 -v 192.168.0.0/24
Nmap scan report for 192.168.0.0 [host down, received no-response]
Nmap scan report for 192.168.0.2 [host down, received no-response]
Nmap scan report for 192.168.0.3 [host down, received no-response]
Nmap scan report for 192.168.0.4 [host down, received no-response]
Nmap scan report for 192.168.0.5 [host down, received no-response]
Nmap scan report for 192.168.0.7 [host down, received no-response]
Nmap scan report for 192.168.0.10 [host down, received no-response]
Nmap scan report for 192.168.0.11 [host down, received no-response]
Nmap scan report for 192.168.0.12 [host down, received no-response]
Nmap scan report for 192.168.0.13 [host down, received no-response]
Nmap scan report for 192.168.0.15 [host down, received no-response]
Nmap scan report for 192.168.0.17 [host down, received no-response]
Nmap scan report for 192.168.0.18 [host down, received no-response]
Nmap scan report for 192.168.0.19 [host down, received no-response]
Nmap scan report for 192.168.0.20 [host down, received no-response]
Nmap scan report for 192.168.0.21 [host down, received no-response]
Nmap scan report for 192.168.0.22 [host down, received no-response]
Nmap scan report for 192.168.0.24 [host down, received no-response]
Nmap scan report for 192.168.0.25 [host down, received no-response]
Nmap scan report for 192.168.0.26 [host down, received no-response]
Nmap scan report for 192.168.0.27 [host down, received no-response]
Nmap scan report for 192.168.0.28 [host down, received no-response]
Nmap scan report for 192.168.0.29 [host down, received no-response]
Nmap scan report for 192.168.0.30 [host down, received no-response]
Nmap scan report for 192.168.0.31 [host down, received no-response]
Nmap scan report for 192.168.0.32 [host down, received no-response]
Nmap scan report for 192.168.0.33 [host down, received no-response]
Nmap scan report for 192.168.0.34 [host down, received no-response]
Nmap scan report for 192.168.0.35 [host down, received no-response]
Nmap scan report for 192.168.0.36 [host down, received no-response]
Nmap scan report for 192.168.0.37 [host down, received no-response]
Nmap scan report for 192.168.0.38 [host down, received no-response]
Nmap scan report for 192.168.0.39 [host down, received no-response]
Nmap scan report for 192.168.0.40 [host down, received no-response]
Nmap scan report for 192.168.0.41 [host down, received no-response]
Nmap scan report for 192.168.0.42 [host down, received no-response]
Nmap scan report for 192.168.0.43 [host down, received no-response]
Nmap scan report for 192.168.0.44 [host down, received no-response]
